3.86	1.41	0.86	10.58	4.92
3.88	1.52	0.86	10.61	4.95
3.75	1.45	0.86	10.64	4.98
3.81	1.40	0.86	10.66	5.01
3.85	1.52	0.87	10.71	5.07
3.89	1.55	0.87	10.74	5.10
3.76	1.47	0.87	10.77	5.13
3.81	1.41	0.88	10.79	5.16
3.85	1.53	0.88	10.81	5.22
3.75	1.41	0.89	10.87	5.25
3.81	1.37	0.89	10.89	5.28
3.85	1.50	0.89	10.92	5.31
3.87	1.43	0.89	10.94	5.35
3.89	1.54	0.90	10.99	5.41
3.91	1.41	0.90	11.02	5.44
3.77	1.52	0.90	11.04	5.47
3.82	1.45	0.91	11.07	5.50
3.86	1.55	0.91	11.09	5.57
3.90	1.42	0.92	11.14	5.60
3.76	1.53	0.92	11.16	5.63
3.82	1.45	0.92	11.19	5.66
3.85	1.41	0.92	11.21	5.69
3.73	1.45	0.93	11.26	5.76
3.84	1.55	0.93	11.28	5.79
3.87	1.47	0.93	11.31	5.82
3.89	1.42	0.94	11.33	5.85
3.90	1.38	0.94	11.38	5.92
3.77	1.44	0.95	11.40	5.95
3.82	1.54	0.95	11.42	5.98
3.86	1.46	0.95	11.45	6.02
3.88	1.56	0.95	11.47	6.04
3.76	1.42	0.96	11.52	6.11
3.82	1.53	0.96	11.54	6.14
3.85	1.45	0.96	11.56	6.18
3.88	1.41	0.97	11.58	6.21
3.75	1.52	0.97	11.63	6.28
3.85	1.40	0.98	11.65	6.31
3.87	1.52	0.98	11.67	6.34
3.89	1.45	0.98	11.69	6.37
3.90	1.55	0.98	11.72	6.44
3.82	1.41	0.99	11.76	6.47
3.86	1.52	0.99	11.78	6.51
3.88	1.45	0.99	11.80	6.54
3.75	1.40	1.00	11.83	6.57
3.81	1.45	1.00	11.87	6.64
3.87	1.55	1.01	11.89	6.67
3.89	1.47	1.01	11.91	6.71
3.76	1.56	1.01	11.93	6.74
3.81	1.48	1.01	11.95	6.81
3.88	1.53	1.02	12.00	6.85
3.89	1.46	1.02	12.02	6.88
3.90	1.41	1.03	12.04	6.91
3.77	1.52	1.03	12.06	6.95
3.86	1.55	1.03	12.10	7.01
3.88	1.47	1.04	12.12	7.05
3.75	1.42	1.04	12.14	7.08
3.81	1.53	1.04	12.16	7.12
3.85	1.45	1.04	12.20	7.19
3.89	1.47	1.05	12.22	7.22
3.76	1.42	1.05	12.24	7.26
3.81	1.53	1.05	12.26	7.29
3.85	1.45	1.06	12.28	7.33
3.89	1.47	1.06	12.32	7.40
3.76	1.56	1.07	12.34	7.43
3.82	1.48	1.07	12.36	7.47
3.85	1.42	1.07	12.37	7.50
3.88	1.53	1.08	12.41	7.57
3.76	1.41	1.08	12.43	7.61
3.82	1.52	1.08	12.45	7.64
3.85	1.45	1.08	12.47	7.68
3.88	1.55	1.09	12.49	7.75
3.81	1.56	1.09	12.52	7.78
3.85	1.48	1.10	12.54	7.82
3.87	1.42	1.10	12.56	7.86
3.89	1.38	1.10	12.58	7.89
3.90	1.44	1.11	12.61	7.96
3.77	1.54	1.11	12.63	8.00
3.82	1.46	1.11	12.65	8.03
3.86	1.56	1.11	12.67	8.07
3.74	1.47	1.12	12.70	8.14
3.84	1.53	1.12	12.72	8.17
3.87	1.46	1.13	12.74	8.21
3.89	1.55	1.13	12.75	8.25
3.76	1.47	1.13	12.77	8.29
3.85	1.53	1.14	12.81	8.36
3.88	1.45	1.14	12.82	8.39
3.89	1.55	1.14	12.84	8.43
3.76	1.47	1.14	12.85	8.47
3.82	1.56	1.15	12.89	8.54
3.88	1.42	1.15	12.90	8.57
3.89	1.53	1.16	12.92	8.61
3.90	1.46	1.16	12.94	8.65
3.77	1.41	1.16	12.97	8.72
3.86	1.45	1.17	12.98	8.76
3.88	1.55	1.17	13.00	8.79
3.75	1.47	1.17	13.01	8.83
3.81	1.56	1.17	13.03	8.87
3.87	1.42	1.18	13.06	8.94
3.89	1.53	1.18	13.07	8.98
3.76	1.46	1.19	13.09	9.02
3.81	1.55	1.19	13.10	9.05
3.85	1.47	1.19	13.13	9.13
3.75	1.53	1.20	13.15	9.16
3.81	1.45	1.20	13.16	9.20
3.85	1.55	1.20	13.18	9.24
3.87	1.47	1.20	13.19	9.28
3.81	1.53	1.21	13.22	9.35
3.85	1.45	1.21	13.24	9.39
3.87	1.55	1.22	13.25	9.43
3.89	1.47	1.22	13.26	9.46
3.90	1.56	1.22	13.29	9.54
3.82	1.42	1.23	13.30	9.58
3.86	1.53	1.23	13.32	9.61
3.88	1.46	1.23	13.33	9.65
3.75	1.55	1.23	13.34	9.73
3.85	1.42	1.24	13.37	9.76
3.87	1.53	1.24	13.38	9.80
3.75	1.45	1.24	13.39	9.84
3.81	1.55	1.25	13.41	9.88
3.87	1.42	1.25	13.43	9.95
3.89	1.53	1.26	13.44	9.99
3.90	1.45	1.26	13.46	10.03
3.77	1.41	1.26	13.47	10.07
3.82	1.52	1.27	13.49	10.14
3.88	1.55	1.27	13.51	10.18
3.75	1.47	1.27	13.52	10.22
3.81	1.56	1.27	13.53	10.26
3.85	1.48	1.28	13.54	10.33
3.75	1.48	1.28	13.56	10.37
3.81	1.42	1.29	13.57	10.41
3.85	1.53	1.29	13.59	10.45
3.87	1.46	1.29	13.60	10.49
3.76	1.47	1.30	13.62	10.56
3.81	1.42	1.30	13.63	10.60
3.85	1.53	1.30	13.64	10.64
3.88	1.45	1.30	13.65	10.68
3.89	1.55	1.31	13.67	10.76
3.82	1.42	1.31	13.68	10.80
3.85	1.53	1.32	13.69	10.83
3.88	1.45	1.32	13.70	10.87
3.75	1.55	1.32	13.72	10.95
3.85	1.42	1.33	13.73	10.99
3.87	1.53	1.33	13.74	11.03
3.75	1.45	1.33	13.75	11.06
3.81	1.55	1.33	13.76	11.14
3.87	1.56	1.34	13.78	11.18
3.89	1.48	1.34	13.79	11.22
3.76	1.57	1.34	13.80	11.26
3.81	1.48	1.35	13.80	11.30
3.85	1.53	1.35	13.82	11.37
3.89	1.46	1.36	13.83	11.42
3.76	1.55	1.36	13.84	11.45
3.82	1.47	1.36	13.85	11.50
3.85	1.42	1.37	13.86	11.57
3.75	1.45	1.37	13.87	11.61
3.81	1.41	1.37	13.88	11.65
3.85	1.52	1.37	13.89	11.69
3.87	1.45	1.38	13.89	11.77
3.81	1.47	1.38	13.91	11.80
3.85	1.56	1.38	13.92	11.85
3.87	1.48	1.39	13.92	11.88
3.89	1.57	1.39	13.93	11.93
3.81	1.57	1.40	13.94	12.00
3.85	1.48	1.40	13.95	12.04
3.73	1.42	1.40	13.96	12.08
